Code;Parent;NUTS-Code;Description
16760;16630.0;UKF3;Lincolnshire
16790;16780.0;UKG1;Herefordshire, Worcestershire and Warwickshire
16830;16780.0;UKG2;Shropshire and Staffordshire
16880;16780.0;UKG3;West Midlands
16970;16960.0;UKH1;East Anglia
17040;16960.0;UKH2;Bedfordshire and Hertfordshire
17090;16960.0;UKH3;Essex
17170;17160.0;UKI3;Inner London - West
17220;17160.0;UKI4;Inner London - East
17280;17160.0;UKI5;Outer London - East and North East
17330;17160.0;UKI6;Outer London - South
17370;17160.0;UKI7;Outer London - West and North West
17440;17430.0;UKJ1;Berkshire, Buckinghamshire and Oxfordshire
17490;17430.0;UKJ2;Surrey, East and West Sussex
17560;17430.0;UKJ3;Hampshire and Isle of Wight
17630;17430.0;UKJ4;Kent
17700;17690.0;UKK1;Gloucestershire, Wiltshire and Bristol/Bath area
17760;17690.0;UKK2;Dorset and Somerset
17800;17690.0;UKK3;Cornwall and Isles of Scilly
17820;17690.0;UKK4;Devon
17870;17860.0;UKL1;West Wales and The Valleys
17960;17860.0;UKL2;East Wales
18020;18010.0;UKM5;North Eastern Scotland
18040;18010.0;UKM6;Highlands and Islands
18110;18010.0;UKM7;Eastern Scotland
18190;18010.0;UKM8;West Central Scotland
18240;18010.0;UKM9;Southern Scotland
18310;18300.0;UKN0;Northern Ireland
18440;18430.0;UKZZ;Extra-Regio NUTS 2
18510;18500.0;IS00;Ísland
18550;18540.0;ISZZ;Extra-Regio NUTS 2
18590;18580.0;LI00;Liechtenstein
18620;18610.0;LIZZ;Extra-Regio NUTS 2
18660;18650.0;NO02;Innlandet
18680;18650.0;NO06;Trøndelag
18700;18650.0;NO07;Nord-Norge
18730;18650.0;NO08;Oslo og Viken
18760;18650.0;NO09;Agder og Sør-Østlandet
18790;18650.0;NO0A;Vestlandet
18850;18650.0;NO0B;Jan Mayen and Svalbard
18920;18910.0;NOZZ;Extra-Regio NUTS 2
18960;18950.0;CH01;Région lémanique
19000;18950.0;CH02;Espace Mittelland
19060;18950.0;CH03;Nordwestschweiz
19100;18950.0;CH04;Zürich
19120;18950.0;CH05;Ostschweiz
19200;18950.0;CH06;Zentralschweiz
19270;18950.0;CH07;Ticino
19300;19290.0;CHZZ;Extra-Regio NUTS 2
19340;19330.0;ME00;Црна Гора (Crna Gora)
19370;19360.0;MEZZ;Extra-Regio NUTS 2
19410;19400.0;MK00;Северна Македонија (Severna Makedonija)
19510;19500.0;MKZZ;Extra-Regio NUTS 2
19550;19540.0;AL01;Veri
19610;19540.0;AL02;Qender
19640;19540.0;AL03;Jug
19710;19700.0;ALZZ;Extra-Regio NUTS 2
19750;19740.0;RS11;Београдски регион (Beogradski region)
19770;19740.0;RS12;Регион Војводине (Region Vojvodine)
19860;19850.0;RS21;Регион Шумадије и Западне Србије (Region Šumadije i Zapadne Srbije)
19950;19850.0;RS22;Регион Јужне и Источне Србије (Region Južne i Istočne Srbije)
20060;20050.0;RSZZ;Extra-Regio NUTS 2
20100;20090.0;TR10;İstanbul
20130;20120.0;TR21;Tekirdağ, Edirne, Kırklareli
20170;20120.0;TR22;Balıkesir, Çanakkale
20210;20200.0;TR31;İzmir
20230;20200.0;TR32;Aydın, Denizli, Muğla
20270;20200.0;TR33;Manisa, Afyonkarahisar, Kütahya, Uşak
