Code_x;Parent_x;NUTS-Code_x;Description_x;Code_y;Parent_y;NUTS-Code_y;Description_y
6830;6370.0;EL6;Κεντρική Ελλάδα (Kentriki Ellada);7030;6830.0;EL65;Πελοπόννησος (Peloponnisos)
7070;6370.0;ELZ;Extra-Regio NUTS 1;7080;7070.0;ELZZ;Extra-Regio NUTS 2
7110;7100.0;ES1;Noroeste;7120;7110.0;ES11;Galicia
7110;7100.0;ES1;Noroeste;7170;7110.0;ES12;Principado de Asturias
7110;7100.0;ES1;Noroeste;7190;7110.0;ES13;Cantabria
7210;7100.0;ES2;Noreste;7220;7210.0;ES21;País Vasco
7210;7100.0;ES2;Noreste;7260;7210.0;ES22;Comunidad Foral de Navarra
7210;7100.0;ES2;Noreste;7280;7210.0;ES23;La Rioja
7210;7100.0;ES2;Noreste;7300;7210.0;ES24;Aragón
7340;7100.0;ES3;Comunidad de Madrid;7350;7340.0;ES30;Comunidad de Madrid
7370;7100.0;ES4;Centro (ES);7380;7370.0;ES41;Castilla y León
7370;7100.0;ES4;Centro (ES);7480;7370.0;ES42;Castilla-La Mancha
7370;7100.0;ES4;Centro (ES);7540;7370.0;ES43;Extremadura
7570;7100.0;ES5;Este;7580;7570.0;ES51;Cataluña
7570;7100.0;ES5;Este;7630;7570.0;ES52;Comunitat Valenciana
7570;7100.0;ES5;Este;7670;7570.0;ES53;Illes Balears
7710;7100.0;ES6;Sur;7720;7710.0;ES61;Andalucía
7710;7100.0;ES6;Sur;7810;7710.0;ES62;Región de Murcia
7710;7100.0;ES6;Sur;7830;7710.0;ES63;Ciudad de Ceuta
7710;7100.0;ES6;Sur;7850;7710.0;ES64;Ciudad de Melilla
7870;7100.0;ES7;Canarias;7880;7870.0;ES70;Canarias
7960;7100.0;ESZ;Extra-Regio NUTS 1;7970;7960.0;ESZZ;Extra-Regio NUTS 2
8000;7990.0;FR1;Ile-de-France;8010;8000.0;FR10;Ile-de-France
8100;7990.0;FRB;Centre - Val de Loire;8110;8100.0;FRB0;Centre - Val de Loire
8180;7990.0;FRC;Bourgogne-Franche-Comté;8190;8180.0;FRC1;Bourgogne
8180;7990.0;FRC;Bourgogne-Franche-Comté;8240;8180.0;FRC2;Franche-Comté
8290;7990.0;FRD;Normandie;8300;8290.0;FRD1;Basse-Normandie
8290;7990.0;FRD;Normandie;8340;8290.0;FRD2;Haute-Normandie
8370;7990.0;FRE;Hauts-de-France;8380;8370.0;FRE1;Nord-Pas de Calais
8370;7990.0;FRE;Hauts-de-France;8410;8370.0;FRE2;Picardie
8450;7990.0;FRF;Grand Est;8460;8450.0;FRF1;Alsace
8450;7990.0;FRF;Grand Est;8490;8450.0;FRF2;Champagne-Ardenne
8450;7990.0;FRF;Grand Est;8540;8450.0;FRF3;Lorraine
8590;7990.0;FRG;Pays de la Loire;8600;8590.0;FRG0;Pays de la Loire
8660;7990.0;FRH;Bretagne;8670;8660.0;FRH0;Bretagne
8720;7990.0;FRI;Nouvelle-Aquitaine;8730;8720.0;FRI1;Aquitaine
8720;7990.0;FRI;Nouvelle-Aquitaine;8790;8720.0;FRI2;Limousin
8720;7990.0;FRI;Nouvelle-Aquitaine;8830;8720.0;FRI3;Poitou-Charentes
8880;7990.0;FRJ;Occitanie;8890;8880.0;FRJ1;Languedoc-Roussillon
8880;7990.0;FRJ;Occitanie;8950;8880.0;FRJ2;Midi-Pyrénées
9040;7990.0;FRK;Auvergne-Rhône-Alpes;9050;9040.0;FRK1;Auvergne
9040;7990.0;FRK;Auvergne-Rhône-Alpes;9100;9040.0;FRK2;Rhône-Alpes
9190;7990.0;FRL;Provence-Alpes-Côte d’Azur;9200;9190.0;FRL0;Provence-Alpes-Côte d’Azur
9270;7990.0;FRM;Corse;9280;9270.0;FRM0;Corse
9310;7990.0;FRY;RUP FR - Régions Ultrapériphériques Françaises;9320;9310.0;FRY1;Guadeloupe
9310;7990.0;FRY;RUP FR - Régions Ultrapériphériques Françaises;9340;9310.0;FRY2;Martinique
9310;7990.0;FRY;RUP FR - Régions Ultrapériphériques Françaises;9360;9310.0;FRY3;Guyane
9310;7990.0;FRY;RUP FR - Régions Ultrapériphériques Françaises;9380;9310.0;FRY4;La Réunion
9310;7990.0;FRY;RUP FR - Régions Ultrapériphériques Françaises;9400;9310.0;FRY5;Mayotte
9420;7990.0;FRZ;Extra-Regio NUTS 1;9430;9420.0;FRZZ;Extra-Regio NUTS 2
9460;9450.0;HR0;Hrvatska;9470;9460.0;HR03;Jadranska Hrvatska
9460;9450.0;HR0;Hrvatska;9560;9460.0;HR05;Grad Zagreb
9460;9450.0;HR0;Hrvatska;9580;9460.0;HR06;Sjeverna Hrvatska
9460;9450.0;HR0;Hrvatska;9640;9460.0;HR02;Panonska Hrvatska
9730;9450.0;HRZ;Extra-Regio NUTS 1;9740;9730.0;HRZZ;Extra-Regio NUTS 2
9760;9750.0;ITC;Nord-Ovest;9770;9760.0;ITC1;Piemonte
9760;9750.0;ITC;Nord-Ovest;9860;9760.0;ITC2;Valle d’Aosta/Vallée d’Aoste
9760;9750.0;ITC;Nord-Ovest;9880;9760.0;ITC3;Liguria
9760;9750.0;ITC;Nord-Ovest;9930;9760.0;ITC4;Lombardia
10060;9750.0;ITF;Sud;10070;10060.0;ITF1;Abruzzo
10060;9750.0;ITF;Sud;10120;10060.0;ITF2;Molise
10060;9750.0;ITF;Sud;10150;10060.0;ITF3;Campania
10060;9750.0;ITF;Sud;10210;10060.0;ITF4;Puglia
10060;9750.0;ITF;Sud;10280;10060.0;ITF5;Basilicata
10060;9750.0;ITF;Sud;10310;10060.0;ITF6;Calabria
10370;9750.0;ITG;Isole;10380;10370.0;ITG1;Sicilia
10370;9750.0;ITG;Isole;10480;10370.0;ITG2;Sardegna
10540;9750.0;ITH;Nord-Est;10550;10540.0;ITH1;Provincia Autonoma di Bolzano/Bozen
10540;9750.0;ITH;Nord-Est;10570;10540.0;ITH2;Provincia Autonoma di Trento
10540;9750.0;ITH;Nord-Est;10590;10540.0;ITH3;Veneto
10540;9750.0;ITH;Nord-Est;10670;10540.0;ITH4;Friuli-Venezia Giulia
10540;9750.0;ITH;Nord-Est;10720;10540.0;ITH5;Emilia-Romagna
10820;9750.0;ITI;Centro (IT);10830;10820.0;ITI1;Toscana
